stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
51,0.5,2.0,66.05932991699956,,66.04760616700514,66.05932991699956,66.54689795800368,66.54689795800368,66.54689795800368,66.84240724999836,67.22763366700383,right,2.0,1,1,0.6680701250006678,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
52,0.5,2.0,67.23560237500351,,67.22802287500235,67.23560237500351,67.72929629200371,67.72580941700289,67.72580941700289,68.01324145800027,68.1947250000012,right,2.0,1,1,0.46013008300360525,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
53,0.5,2.0,68.20309245800308,,68.19511070800218,68.20309245800308,68.69661004200316,68.6924102500052,68.6924102500052,68.97928179200244,69.11086291700485,right,2.0,1,1,0.4095651669995277,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
54,0.5,1.5,69.119309624999,,69.11125049999828,69.119309624999,69.61316600000282,69.60923104199901,69.60923104199901,69.89599433300464,70.31072770800529,left,-1.5,1,1,0.6976716249992023,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
55,0.5,1.5,70.31922695800313,,70.31105741699866,70.31922695800313,70.81310058300005,70.80908420799824,70.80908420799824,71.0957088330033,71.34445791700273,left,-1.5,1,1,0.531739625002956,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
56,0.5,1.5,71.34933945800003,,71.34482687499985,71.34933945800003,71.84632766700088,71.84252241699869,71.84252241699869,72.12973245800094,72.36099950000062,left,-1.5,1,1,0.509389666003699,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
57,0.5,1.0,72.36919233300432,,72.36135666700284,72.36919233300432,72.86306150000019,72.85915433300397,72.85915433300397,73.14596787500341,73.31110545800038,left,-1.0,1,1,0.446685165996314,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
58,0.5,1.0,73.3157894169999,,73.31146020800225,73.3157894169999,73.81320962500467,73.80925962499896,73.80925962499896,74.09600958300143,74.41096666700469,left,-1.0,1,1,0.594433708996803,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
59,0.5,1.0,74.41886783300288,,74.41133462500147,74.41886783300288,74.9124707919982,74.90904666700226,74.90904666700226,75.19605345799937,75.47751366699958,left,-1.0,0,0,0.5657487909993506,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
60,0.5,1.5,75.48636108299979,,75.47792299999855,75.48636108299979,75.98020099999849,75.97605504200328,75.97605504200328,76.26273879200016,76.44425691699871,left,-1.5,1,1,0.4636795840051491,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
61,0.5,1.5,76.44886504200258,,76.44460087500192,76.44886504200258,76.94740366699989,76.94266116699873,76.94266116699873,77.2297295419994,77.5444053329993,right,1.5,1,1,0.5890347919994383,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
62,0.5,1.5,77.55311745800282,,77.54486175000056,77.55311745800282,78.04672179200134,78.04267700000491,78.04267700000491,78.32985145800194,78.7111058330047,left,-1.5,1,1,0.6629357079946203,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
